(title "Pressure Coefficient")
(labels "Position" "Pressure Coefficient")

((xy/key/label "wall")
0.0694884	-0.615857
0.06634	-0.610744
0.0634013	-0.605707
0.0606584	-0.600807
0.0580982	-0.596118
0.0557086	-0.591658
0.0534782	-0.587396
0.0513965	-0.583344
0.0494535	-0.579582
0.04764	-0.576122
0.0459473	-0.572833
0.0443675	-0.569593
0.0428929	-0.566387
0.0415166	-0.563255
0.0401422	-0.560186
0.0387697	-0.557368
0.0373993	-0.554763
0.0360311	-0.552199
0.0346653	-0.549425
0.0333021	-0.546257
0.0319418	-0.542608
0.0305845	-0.538489
0.0292305	-0.533908
0.0278801	-0.528841
0.0265337	-0.523109
0.0251915	-0.516602
0.0238542	-0.509499
0.022522	-0.502026
0.0211955	-0.494265
0.0198753	-0.48533
0.0185625	-0.474068
0.0172582	-0.459995
0.0159633	-0.443152
0.0146792	-0.423885
0.0134072	-0.40169
0.0121494	-0.375654
0.0109081	-0.345227
0.00968619	-0.310179
0.00848692	-0.268537
0.00731562	-0.217152
0.00617861	-0.155514
0.00508264	-0.0832209
0.00403756	0.00567078
0.00305938	0.116451
0.00216679	0.249584
0.00138301	0.406615
0.000739418	0.585177
0.000274965	0.772854
3.00307e-05	0.947
2.66052e-05	1.07077
0.000265083	1.13069
0.000724014	1.13871
0.00136239	1.10066
0.00214084	1.04239
0.00302741	0.977331
0.00399903	0.908205
0.00503708	0.845114
0.00612556	0.786449
0.00725434	0.732503
0.00841675	0.683613
0.00960677	0.639672
0.0108194	0.599636
0.0120513	0.562904
0.0132998	0.52946
0.0145626	0.499017
0.0158375	0.470809
0.0171231	0.444364
0.0184184	0.419754
0.0197223	0.397069
0.0210339	0.376097
0.0223523	0.356409
0.0236768	0.337719
0.025007	0.320095
0.0263423	0.303516
0.692572	0.0977514
0.680249	0.0791927
0.667926	0.0600295
0.655604	0.0403195
0.643283	0.0199498
0.63096	-0.00112322
0.618635	-0.0228786
0.606309	-0.0453289
0.59398	-0.068605
0.581647	-0.092827
0.56931	-0.117933
0.556968	-0.143972
0.544621	-0.170959
0.532267	-0.198936
0.519907	-0.227913
0.507539	-0.257711
0.495163	-0.288024
0.482778	-0.318504
0.470384	-0.348738
0.457982	-0.378258
0.44557	-0.406557
0.43315	-0.432964
0.420721	-0.456515
0.408286	-0.475901
0.395845	-0.489759
0.383399	-0.496606
0.37095	-0.496535
0.358499	-0.490928
0.346047	-0.480096
0.333596	-0.464377
0.321147	-0.444937
0.3087	-0.423254
0.296257	-0.4007
0.283818	-0.37829
0.271384	-0.356697
0.258953	-0.336269
0.246528	-0.316904
0.234108	-0.298283
0.221694	-0.280193
0.209286	-0.262267
0.196855	-0.244098
0.185245	-0.226715
0.174401	-0.209954
0.164275	-0.193792
0.154817	-0.178138
0.145986	-0.162925
0.137739	-0.148089
0.130039	-0.133458
0.122848	-0.118926
0.116135	-0.104542
0.109867	-0.0904111
0.104014	-0.0765763
0.0985505	-0.063085
0.0934496	-0.0499078
0.0886878	-0.0369358
0.0842426	-0.0241681
0.0800932	-0.0115916
0.07622	0.000859722
0.0726048	0.0131642
0.0692306	0.0253203
0.0660814	0.0373346
0.0631422	0.0492029
0.0603992	0.0608634
0.0578393	0.0722564
0.0554503	0.0834476
0.0532209	0.0945182
0.0511406	0.105502
0.0491992	0.116291
0.0473877	0.126839
0.0456972	0.137163
0.0441198	0.147235
0.0426477	0.157023
0.0412741	0.166568
0.0399026	0.176519
0.0385333	0.186769
0.0371665	0.19734
0.0358022	0.208364
0.0344406	0.219959
0.0330821	0.232222
0.0317268	0.245193
0.0303749	0.258817
0.0290267	0.273038
0.0276824	0.287871
0.0263423	0.303516
0.806069	-0.187283
0.793731	-0.208873
0.781386	-0.230121
0.769034	-0.250998
0.756677	-0.271495
0.744313	-0.29158
0.731943	-0.311203
0.719566	-0.330405
0.707184	-0.349313
0.694795	-0.367953
0.682401	-0.385958
0.670002	-0.402618
0.657596	-0.417431
0.645185	-0.431063
0.632769	-0.447829
0.620347	-0.478933
0.60792	-0.541628
0.595488	-0.657343
0.58305	-0.815584
0.570608	-0.953297
0.558161	-1.02433
0.54571	-1.04035
0.533255	-1.02998
0.520797	-1.01188
0.508337	-0.994314
0.495874	-0.97941
0.48341	-0.967364
0.470945	-0.956839
0.458478	-0.946971
0.446011	-0.937333
0.433544	-0.927941
0.421077	-0.918951
0.408611	-0.910377
0.396145	-0.902046
0.38368	-0.893772
0.371216	-0.885442
0.358753	-0.877028
0.346293	-0.868531
0.333834	-0.859964
0.321378	-0.851391
0.308925	-0.842914
0.296475	-0.834603
0.284028	-0.826461
0.271585	-0.818298
0.259146	-0.809804
0.246712	-0.800839
0.234284	-0.791438
0.221862	-0.781742
0.209446	-0.771811
0.197022	-0.761557
0.185419	-0.75156
0.174583	-0.741667
0.164463	-0.731736
0.155012	-0.721794
0.146188	-0.712095
0.137947	-0.702842
0.130253	-0.694132
0.123068	-0.685921
0.11636	-0.67815
0.110097	-0.670811
0.104249	-0.66385
0.0987895	-0.657158
0.0936926	-0.650625
0.0889343	-0.644218
0.0844923	-0.638041
0.0803456	-0.632162
0.0764746	-0.626515
0.0728613	-0.621082
0.0694884	-0.615857
1	0.228928
0.997005	0.258004
0.993799	0.265013
0.990368	0.273771
0.986696	0.28117
0.982767	0.288162
0.978561	0.29436
0.97406	0.299965
0.969244	0.304785
0.96409	0.308848
0.958574	0.312078
0.952673	0.314405
0.946359	0.315867
0.939603	0.316509
0.932377	0.316188
0.924646	0.315005
0.916376	0.312924
0.907531	0.309801
0.898071	0.305612
0.887953	0.300261
0.877133	0.293702
0.865563	0.285871
0.853191	0.276679
0.840796	0.266756
0.82841	0.256155
0.816031	0.244935
0.803659	0.233159
0.791293	0.220843
0.778935	0.207954
0.766582	0.194411
0.754235	0.180125
0.741894	0.165076
0.729558	0.149274
0.717226	0.132805
0.704898	0.115654
0.692572	0.0977514
1	0.228928
0.997065	0.201283
0.993922	0.195195
0.990558	0.187443
0.986957	0.179974
0.983102	0.170587
0.978976	0.161485
0.974559	0.151017
0.969831	0.140309
0.964771	0.128596
0.959354	0.116323
0.953555	0.103194
0.947349	0.0893131
0.940705	0.0745551
0.933594	0.0589898
0.925982	0.0425882
0.917834	0.0253418
0.909111	0.00719837
0.899774	-0.0118189
0.889779	-0.0317593
0.879079	-0.0526496
0.867624	-0.0746305
0.855361	-0.0977864
0.843048	-0.120577
0.830728	-0.143103
0.818402	-0.165365
0.806069	-0.187283
)
