%eval_id interface x1             x2             x3             x4             x5             x6             obj_fn         
1        NO_ID      0.5815320784   0.6880044421   -0.1684689854  0.5560274298   -0.697268433   0.3381335705   2007.860952    
2        NO_ID      0.5048202874   -0.3023863366  -0.5230078197  0.0444370265   0.3835264182   0.7161442949   2120.789533    
3        NO_ID      0.9147973009   -0.1582403077  -0.2803926883  -0.5283426075  0.17821228     0.8306609949   1905.392986    
4        NO_ID      0.8575131925   0.4466917716   0.7549428086   0.7795802703   -0.582104291   0.5616385989   811.5514727    
5        NO_ID      0.3976809814   -0.9147499194  -0.3417205831  0.1232725685   -0.3688014856  0.6377735138   2072.307762    
6        NO_ID      0.1263757188   -0.8248359773  -0.4078841819  0.4458378834   0.5667429487   0.8925952068   2996.075086    
7        NO_ID      0.2361810153   -0.7674602309  -0.306132552   -0.9953508166  0.2627570309   0.2287901851   1918.514817    
8        NO_ID      0.1858437063   0.4032824959   0.140097163    0.07955073169  -0.3191969955  0.7418170864   484.9718017    
9        NO_ID      0.7673654297   -0.7696513144  -0.6916469135  -0.9453131189  0.8658638051   0.7722631764   2053.851418    
10       NO_ID      0.101673309    -0.9942596763  -0.7460447793  -0.4246599437  -0.3618203411  0.3228062474   2801.726645    
11       NO_ID      0.4835498244   -0.9995835821  -0.5730184441  -0.9065206252  0.7163304395   0.3628780808   1931.064264    
12       NO_ID      0.4806159831   -0.7860538984  0.4454245      -0.4972752575  0.4654388286   0.5715560282   2972.625204    
13       NO_ID      0.9418675976   -0.8447061276  -0.3468324929  0.3675599822   -0.456944721   0.3489150734   1900.063347    
14       NO_ID      0.7425203796   0.2155006283   0.7081358512   -0.4006701656  0.1824578437   0.5394294484   2416.058139    
15       NO_ID      0.8100223651   -0.9702741859  -0.4762527786  -0.3674848595  -0.6139208325  0.5342279418   2737.003466    
16       NO_ID      0.5273758723   -0.9236449748  0.9817639473   -0.5121411549  -0.4918923464  0.27761464     2816.034813    
17       NO_ID      0.4583779321   0.09224660564  -0.9234314279  0.2645974135   -0.426351315   0.2493246689   2486.480147    
18       NO_ID      0.7948426665   -0.1434608593  0.2408443225   0.9499609483   -0.2869277694  0.4858118733   3253.674283    
19       NO_ID      0.1090715671   -0.8944739979  0.03085150083  0.7393492697   0.2757210505   0.04408521896  4603.923334    
20       NO_ID      0.656498552    0.8750048931   -0.5983767405  -0.9400985611  0.09238821431  0.2005365192   9092.638351    
21       NO_ID      0.4290073068   0.7798822937   -0.8127599216  -0.3004939288  0.2772260445   0.6028829536   1523.185905    
22       NO_ID      0.8174229104   -0.5828208868  0.1986497465   -0.3121380212  -0.08667234289 0.4920816323   1960.689436    
23       NO_ID      0.3535991591   -0.06505764333 0.02175046493  0.02837804325  -0.5062878438  0.2202919591   1809.496665    
24       NO_ID      0.3058792209   -0.9175864374  0.7479345691   -0.8517508689  -0.1195905984  0.1995075899   2731.955574    
25       NO_ID      0.7543325774   -0.2014080957  0.02684355605  -0.1763471352  0.8789001391   0.9662326884   3079.179396    
26       NO_ID      0.4972800087   -0.04811249245 0.2857564407   -0.2830064521  0.3894876447   0.3148552306   2824.817397    
27       NO_ID      0.3076763688   -0.7622233643  0.9354354686   -0.872822964   0.6762281604   0.1053192473   4846.170897    
28       NO_ID      0.9989296843   -0.7568087811  0.1032122367   0.09996867743  0.2535088502   0.2717108768   2787.050681    
29       NO_ID      0.5336676823   -0.6901488871  -0.3289048011  -0.4061194747  -0.5016357376  0.1190395888   2024.545645    
30       NO_ID      0.9579248391   -0.01136849433 0.1708954152   0.3309365177   0.7504427627   0.5198935732   4646.193267    
31       NO_ID      0.8825191536   0.41792987     0.9914630758   -0.3531944821  0.1591131578   0.9303278803   2337.57862     
32       NO_ID      0.1312730581   0.9470384994   -0.5386276711  0.07400025063  0.5444431897   0.3324953028   2720.586473    
33       NO_ID      0.2384111611   0.1672249976   -0.4817145157  0.1452666424   0.8802014123   0.7122030512   3167.926386    
34       NO_ID      0.4409883417   0.5009034583   -0.8266522742  -0.7588593159  0.7340031269   0.8004943448   1236.946908    
35       NO_ID      0.8121790299   -0.209278925   -0.2246699264  -0.181801082   -0.8046876816  0.2910858407   2099.479207    
36       NO_ID      0.6991099583   0.1088106746   0.06195378495  -0.8896337608  0.355468456    0.3808786325   2166.571237    
37       NO_ID      0.8679901588   -0.9423455562  0.9225988397   0.7498729145   0.7121806383   0.354744914    8566.85199     
38       NO_ID      0.5711305109   0.3168599791   0.9362986067   0.5055253294   -0.6491737947  0.945028749    597.9984094    
39       NO_ID      0.2294379239   -0.9090112011  0.3846587034   -0.1508719089  -0.4952188154  0.1822417538   2253.847416    
40       NO_ID      0.5416830633   -0.5888059397  0.1204740714   -0.7607961504  -0.1859764216  0.783226106    1935.2022      
41       NO_ID      0.2740771176   0.9799604445   0.9005062242   -0.2214485527  -0.6673012529  0.2629814744   360.8674921    
42       NO_ID      0.9654035104   -0.08543134509 0.5373707684   -0.2921646704  -0.0815453727  0.3190563133   455.4231841    
43       NO_ID      0.892488093    -0.8905280687  -0.4006264511  -0.6656741441  0.1223100114   0.2087484269   1886.699878    
44       NO_ID      0.5096271001   -0.7325360734  -0.4537279291  -0.9359834754  -0.8284007264  0.6051919676   4277.0589      
45       NO_ID      0.8751225465   -0.03623662725 0.6002609283   -0.6931339185  0.5751176133   0.5664270327   2374.130436    
46       NO_ID      0.3768172026   0.5358124986   0.1368859954   -0.704908774   -0.05709230351 0.4908575636   1939.719645    
47       NO_ID      0.3833991823   0.4885902805   -0.1754802891  -0.3829709236  0.2214851588   0.7481918494   1800.066419    
48       NO_ID      0.3201678926   -0.1880333338  -0.01665989495 -0.2125098994  0.7435504527   0.5370705831   3081.863471    
49       NO_ID      0.5750440892   0.4311418264   0.5745589256   0.03379436246  -0.7324906792  0.7957716615   161.2534519    
50       NO_ID      0.9836838852   -0.5052618206  0.4119229233   -0.00191220335 0.5083954674   0.9164665566   3323.848724    
51       NO_ID      0.4043001463   0.6744967226   -0.1875548183  0.9215576558   -0.8983559094  0.7244062393   2232.030948    
52       NO_ID      0.557675992    -0.239984703   0.2458459724   -0.8456210417  -0.5316525352  0.4225666465   2192.118973    
53       NO_ID      0.3103274825   -0.7983219847  0.6442438403   -0.9496324992  0.09702483362  0.946635378    2329.326439    
54       NO_ID      0.9046303229   0.6015682737   0.3420784597   -0.8249491468  -0.4521337744  0.8661048187   7732.665274    
55       NO_ID      0.288583865    0.0990329142   -0.2724278464  0.8871083507   0.4392272895   0.7264117874   4014.8517      
56       NO_ID      0.6448468744   -0.43286837    -0.6637921685  0.1425547135   0.07766462967  0.0399545935   2015.979202    
57       NO_ID      0.5200205931   -0.3892785132  -0.8950971459  -0.7356612497  -0.1732353381  0.008574908793 2752.149836    
58       NO_ID      0.6235622014   0.06399503606  -0.5589640426  0.02656014632  -0.9945679913  0.5084201742   2948.707281    
59       NO_ID      0.2168267006   -0.1039064987  -0.6205629366  0.3771008922   0.8583582927   0.999832953    3021.712932    
60       NO_ID      0.114087585    0.2328625647   0.1911857019   0.1029808111   0.6355907287   0.81253119     3877.543441    
61       NO_ID      0.5319900637   -0.5619216735  -0.6557993932  0.08307237735  -0.5493861326  0.8727842951   1214.247435    
62       NO_ID      0.4564768876   -0.005148702696 -0.2397797457  0.8964809681   0.06832503483  0.9264184414   2957.786364    
63       NO_ID      0.3734174048   0.3227229034   -0.06805849744 0.3937698941   -0.07310901518 0.507584069    2466.01485     
64       NO_ID      0.598737385    -0.1693188764  0.2307047757   -0.2364091397  0.1242074462   0.09315670616  2436.031106    
65       NO_ID      0.8190936246   -0.7889276444  0.6659155973   -0.487105193   0.453226016    0.9502031952   3034.238654    
66       NO_ID      0.8132498685   0.1915411528   -0.3393905526  0.4026769996   0.4684259456   0.4709121799   3009.525981    
67       NO_ID      0.3166909277   -0.05899329416 0.6206717499   -0.4113487818  0.5531458083   0.8532319603   3367.694085    
68       NO_ID      0.8854870278   -0.5563498862  0.1162499438   0.4399712213   -0.6762221193  0.4270443966   1893.834066    
69       NO_ID      0.9754535502   0.170520616    -0.3612236044  0.5326997953   0.5388791018   0.862158761    3057.43038     
70       NO_ID      0.7825972824   -0.5988156479  0.406872034    0.007999450454 0.2494581377   0.7860833806   2887.714063    
71       NO_ID      0.3182489862   -0.8848113674  0.3368611555   -0.4661488716  0.1086390707   0.2391902424   2518.585923    
72       NO_ID      0.1790754682   -0.5453035406  0.4966030118   -0.5422523288  -0.04737369214 0.1289012541   2533.509571    
73       NO_ID      0.9342089258   -0.4954203026  0.1247103177   0.6467291474   0.6862509889   0.3512565607   5212.13687     
74       NO_ID      0.4911935487   0.8340011384   -0.7243782256  0.1622521546   -0.7484259241  0.215308503    2844.871115    
