"integral_char"
"Iteration" "cya etc.."
("Iteration" "cya" "cxa" "mz")
1 -0.5835383149173383 0.3275804013089866 0.2551924018621602
2 -1.083662104840656 0.1345866443464086 0.3839739555422001
3 -0.9546845735061771 0.04124497319420154 0.3230787600653955
4 -0.8804495002130122 -0.00930768620215785 0.2971205709526787
5 -0.8242948877786257 -0.03455232055537427 0.2783756028558086
6 -0.7743946816313833 -0.04457355451247542 0.2607294320200822
7 -0.7338005078560362 -0.04495361062799402 0.2440074126615092
8 -0.6937409253603326 -0.03960701060130752 0.2233487902017979
9 -0.6700394953481749 -0.03008389319699053 0.2043418367994417
10 -0.6615333182660037 -0.02081068602685842 0.1890295622616669
11 -0.6354384557121805 -0.01338473075053042 0.1687175805834643
12 -0.5573773393327008 -0.009405061366755124 0.1341674055687708
13 -0.4477191900711794 -0.005908594025061232 0.08628616040300825
14 -0.3206047764498435 -0.003317471221985332 0.03544246750852572
15 -0.2295151462035963 -0.0003666321848325621 -0.004722329261804698
16 -0.1547954646651355 0.002470537509598286 -0.03554587816457554
17 -0.1061960983127913 0.006155525970426623 -0.0570737569742885
18 -0.05153226582602808 0.01002717343285909 -0.07829565973274953
19 -0.009006516546842331 0.01324075532406653 -0.09381950250449156
20 0.0383923827927689 0.01604174673619049 -0.1090232604981008
21 0.08652998745818188 0.01811659422812509 -0.1220384329878786
22 0.1826107882741808 0.01958922992304602 -0.142988820118255
23 0.3074202943736218 0.02210322531316291 -0.1679449686483389
24 0.4314979655546814 0.02446076574788313 -0.1892799938682551
25 0.5332122888360457 0.02663885651877698 -0.2035078850047769
26 0.6066965760976631 0.02817166113940302 -0.2115167836472115
27 0.6636440242358999 0.02940266489292914 -0.2173366426643399
28 0.7159855808438751 0.03078629525762291 -0.2247608078761582
29 0.7660236152224805 0.03285699727564964 -0.2345068122504138
30 0.8078487943935023 0.03527465754131717 -0.2442477274958656
31 0.833473187074139 0.03738232790252118 -0.2503836733804645
32 0.8391401634612988 0.03858921489606789 -0.25135225088284
33 0.8315666405770331 0.03889050931971731 -0.2488771352460026
34 0.8201804012920706 0.03884031096974033 -0.2455972252678664
35 0.8079872807707935 0.03849660645851334 -0.2426050854120181
36 0.7970017020682161 0.03793980637827514 -0.24018100895245
37 0.7904695444986777 0.03756866425678517 -0.2391928689608832
38 0.7885415487117535 0.0375161899520989 -0.239659018249636
39 0.7900960162174118 0.03776311130573568 -0.2412184187868802
40 0.7921649757849224 0.03809747217053382 -0.2426724379272814
41 0.7925061934253493 0.03833789081823859 -0.2432875426398818
42 0.7905354875576894 0.03841627427621965 -0.2429705642988799
43 0.7868641891248187 0.03832750091682778 -0.2419813663813224
44 0.7825984514810994 0.03812639717933309 -0.2407243801540743
45 0.7782744550736082 0.03783928946352723 -0.2393878147052871
46 0.7743672267344779 0.03755079371541371 -0.2381875320987329
47 0.7716183272716119 0.03734784266131733 -0.2374407834496003
48 0.7698875758119718 0.0372254476157615 -0.2370794506841011
49 0.7689099830521693 0.03718334089145152 -0.2370167057568527
50 0.7684469249865293 0.03720671481763658 -0.2371474228814438
51 0.7679552398606145 0.03725626549033904 -0.2372869549229551
52 0.7671723500767694 0.03728856029726606 -0.2373110162222365
53 0.7658936901521533 0.03729524652483811 -0.2371634148640392
54 0.7641442093586608 0.03727082309194157 -0.2368524329462296
55 0.7618661968441848 0.0372019896935705 -0.2363687008421536
56 0.7592018506188 0.03707021781283712 -0.2357142071910574
57 0.7560061881325278 0.03677155779412733 -0.2347265507842211
58 0.7526289737945989 0.03649084542335142 -0.2336975637064576
59 0.7498593175787945 0.03631438424030565 -0.2329404637985482
60 0.7475565087463862 0.03618769189580823 -0.2323756403173435
61 0.7456736731761857 0.03610707217656129 -0.2319939503710839
62 0.7441677885756979 0.03607479501694937 -0.2317778059056879
63 0.7429859918493436 0.03608265622947174 -0.2317039697979138
64 0.7420355288943553 0.03611543628458865 -0.231720678055534
65 0.7410296070760807 0.03613998268470934 -0.2317082378675746
66 0.7399179526685621 0.0361461037821848 -0.2316180167071868
67 0.7388117578146312 0.03614808138881571 -0.2314824922059916
68 0.7375281015029043 0.03612114590678326 -0.2312513880551363
69 0.7361098331732693 0.03607766003062732 -0.2309518175225657
70 0.7346333467090337 0.03601816494061087 -0.2306223146170515
71 0.7331397039508739 0.03594566091113133 -0.23029223984655
72 0.7319386738504626 0.03590042925403268 -0.2300559398771909
73 0.7308904383601715 0.03584930792070435 -0.2298549915059007
74 0.7299619068534592 0.03581568956020238 -0.2297017480795121
75 0.7291643084331454 0.03578851737866 -0.2295901520770193
76 0.7285268948520209 0.03577934290552607 -0.229521772139546
77 0.7279883548412573 0.03577564133634111 -0.2294748062009102
78 0.7274515499099927 0.03577613882312231 -0.2294345507029549
79 0.7268876404147011 0.03577469868951801 -0.2293810439081869
80 0.7262908714163674 0.0357560094635858 -0.2292868409321693
81 0.7256599142719987 0.03573602885041391 -0.2291704872909835
82 0.724962551747213 0.03570790419337994 -0.2290281069855587
83 0.7240619711184808 0.03564846851891033 -0.228798525788441
84 0.7232232804698481 0.03559466609906875 -0.2285792555511249
85 0.7224276170679158 0.0355434702088739 -0.2283730788042244
86 0.7215856518744221 0.03548758859929668 -0.228161871397518
87 0.7208660148117965 0.03543342085944426 -0.2279732978669245
88 0.7201846847986554 0.03537437849571627 -0.2277880048385961
89 0.7194528845234635 0.03530266496351065 -0.2275748946156633
90 0.7188461106971041 0.03525088300705821 -0.2274021713681338
91 0.7183079001379128 0.03521031959059435 -0.227259875024305
92 0.7177931123411129 0.03516468947905826 -0.2271182065404535
93 0.7173173516402521 0.03512123154304606 -0.2269832848820425
94 0.7168733787422548 0.0350852794969029 -0.2268622215637443
95 0.7164452809668774 0.03505190653475133 -0.22674828055859
96 0.7160337735588462 0.03502226578185849 -0.2266426889991182
97 0.7156336341976768 0.03499313158632564 -0.2265399327338937
98 0.7152419087934141 0.03496424133691426 -0.22643847187783
99 0.7148221567827331 0.03492331474002684 -0.2263148505579819
100 0.7144227692561916 0.03488851284889365 -0.2261958962240595
