"integral_char"
"Iteration" "cya etc.."
("Iteration" "cya" "cxa" "mz")
1 0.0007371013905677661 0.2825548563499357 -0.008050175411407116
2 -0.07031941877962429 0.08689246625869036 0.01111834304368444
3 -0.1341370683819744 0.007030993762304755 0.01125269067784804
4 -0.1484536472328062 -0.04281774867132144 0.009468975929905091
5 -0.1612349931821179 -0.06449581611995069 0.007621272951673445
6 -0.1797809567471515 -0.0694818908148067 0.006448148323712386
7 -0.2102232101470361 -0.06466188974599935 0.006970423669283776
8 -0.2538768116389537 -0.05397580200142854 0.009908116028719844
9 -0.30409594906583 -0.03854702158158303 0.01672135899046978
10 -0.3362675058853055 -0.01823208946158294 0.02998886634624647
11 -0.3681076399270243 -0.001980149468368917 0.04583442751160019
12 -0.4089079538536795 0.008248251608975174 0.056491869267389
13 -0.445368242249055 0.01612286194079672 0.06348934279166368
14 -0.4487357421597486 0.02038809190525036 0.05682951240267353
15 -0.4149977610830106 0.02049500366360097 0.04083175630328079
16 -0.3812035583749787 0.01848779418083273 0.02640372868286683
17 -0.3562308631104438 0.0187685788572377 0.01206873210729201
18 -0.3677212271503715 0.02163216091372601 0.004798655337462069
19 -0.3826758265936098 0.0259546052378533 -0.003279212182089825
20 -0.3918205437409733 0.03110977088717719 -0.01223481582233743
21 -0.4048612685196106 0.03629047870139725 -0.01944980486529446
22 -0.4276694923841928 0.03975053886459998 -0.02383480858718821
23 -0.4470395455523046 0.0388869060626177 -0.02886477667800141
24 -0.4549026556054052 0.03469281919368125 -0.03359562311662238
25 -0.4531552816706438 0.02930504013992194 -0.03915120254272075
26 -0.4447036027859829 0.02410936266115325 -0.04573757200635507
27 -0.4401867560775589 0.02063560430622581 -0.05122319515677678
28 -0.4428655914933488 0.01912817402764713 -0.05514658418025704
29 -0.4503548092069112 0.01888178289943469 -0.05782662997339207
30 -0.4579102583487976 0.01941371861201912 -0.0604746061889942
31 -0.465686107667392 0.02045678144410078 -0.06177152388292786
32 -0.4732075770280667 0.02171790735005489 -0.06181849374216403
33 -0.4810429541472049 0.02338795168101274 -0.0598315529988469
34 -0.4863338212006774 0.02518802758454259 -0.0555206320470891
35 -0.4905798350851419 0.02729248319420903 -0.04828732695432798
36 -0.4950109328700133 0.02981641306005491 -0.03856377505763164
37 -0.5013041172188851 0.03269000728172455 -0.02730762349135962
38 -0.5150684127755621 0.03624211696242266 -0.01265822652598558
39 -0.523560062699844 0.03823289121353179 -0.0020128816282285
40 -0.5286553337848333 0.03968812047771274 0.002900961323022681
41 -0.5304645960290529 0.03976872333588781 0.002071190305198884
42 -0.5256528451554713 0.03909909093954198 -0.005239564187623082
43 -0.5151581249304589 0.03834556753760699 -0.01475115850935196
44 -0.5037254098089001 0.03803754240896006 -0.02133191032796564
45 -0.4931674602566964 0.03822814662475042 -0.02328300474449612
46 -0.4813638352967351 0.03867269617245601 -0.02218996777546911
47 -0.4749052256958922 0.03914458834810652 -0.01816954126212233
48 -0.4648708394100142 0.03913090155839531 -0.01647788484011114
49 -0.4481755090057813 0.03834949500217114 -0.01888293505913423
50 -0.428903747653474 0.03700681060543135 -0.0246050326961229
51 -0.4092583197313853 0.03517260306710293 -0.03237503102853626
52 -0.3840153069713745 0.03284224240878875 -0.04287734335944576
53 -0.355092612008269 0.03043644990816021 -0.05412302783784971
54 -0.3338632143698714 0.02864375656817334 -0.06135265494899812
55 -0.3224751784856053 0.02782698257452996 -0.06425158069522116
56 -0.3212155463769603 0.0279494802817787 -0.06357723751050141
57 -0.3242412253974034 0.02860831786373994 -0.06227919973413405
58 -0.3281072175100103 0.02943663786901837 -0.06123095528159713
59 -0.3311902589358782 0.03032291170140425 -0.06075348052562973
60 -0.3333260662912218 0.03130006077262998 -0.06019374885864862
61 -0.3363545006563665 0.03233661145755096 -0.05885104849937903
62 -0.3371295800300703 0.0333733129973998 -0.05796629357675891
63 -0.3376120908864744 0.0343963168840758 -0.05688795833887922
64 -0.3399385854789758 0.03523672389631073 -0.05549721578812248
65 -0.3404589114323078 0.03578259584545628 -0.05477826318832128
66 -0.3396925829856398 0.03617909614862837 -0.05457568216788859
67 -0.3371929095039417 0.03653781837669139 -0.05493488027695798
68 -0.3381048322599831 0.03725217531022244 -0.05452649593229812
69 -0.3401462943413223 0.03788896904865596 -0.05398800323464301
70 -0.3419100383347022 0.03844487138579895 -0.05341311989397739
71 -0.3447453045167056 0.03917429699931754 -0.05236250534425571
72 -0.34721015254591 0.03992978353519129 -0.05119483106717377
73 -0.3493345033799197 0.04075114121190603 -0.0500510437820168
74 -0.3511743200901405 0.04138046590674167 -0.04892132514747868
75 -0.3514417287340734 0.04180099220228464 -0.04835149689569748
76 -0.3514625114558712 0.04220083816005214 -0.04796319307531865
77 -0.3520289441868381 0.04252792681312198 -0.0476438694297863
78 -0.3526926034638821 0.04291197868021988 -0.04740279473072562
79 -0.3540198176774191 0.04330740452621482 -0.04701526817759093
80 -0.3555130432056888 0.04369786626103559 -0.04646251958747182
81 -0.3570995888897091 0.0441338231042419 -0.04578652376488672
82 -0.3582224538268657 0.04451586296985212 -0.04517833333939956
83 -0.3584556287273198 0.04480027227517062 -0.04479186155032158
84 -0.3583565961444249 0.04498274938749315 -0.04455249765801261
85 -0.358517698065507 0.04520528624159201 -0.0443476343297735
86 -0.3600156177365565 0.04555571369454197 -0.04391776474364267
87 -0.3615292195456192 0.04586141905761872 -0.04355184976119704
88 -0.3627462879886189 0.04613416993254844 -0.04322336237900231
89 -0.3638828847208864 0.04642674416142951 -0.04282758442741157
90 -0.3647025670853546 0.04669057539156574 -0.04239844915278075
91 -0.3650317173449611 0.04688910223523889 -0.04205650754565996
92 -0.3649511879556144 0.04703530684400573 -0.04183544754755796
93 -0.3645384878777456 0.04710924608625842 -0.04177002251582645
94 -0.3640880252732659 0.04713078713021704 -0.04178842808499292
95 -0.3637278286937593 0.04714438648205621 -0.04183536845920135
96 -0.3634537778556218 0.04716018680519464 -0.04189776025828614
97 -0.3633482580822157 0.04719486829522009 -0.04192752989981649
98 -0.3634225141609664 0.04725499852849734 -0.04187951013739354
99 -0.3636405126401959 0.0473425008646482 -0.04174507316034309
