%eval_id interface x1             x2             x3             x4             x5             x6             obj_fn         
1        NO_ID      0.25           0.2559         0.2            -0.3029        -0.4746        0              123.6412099    
2        NO_ID      0.2602364987   0.2621356152   0.1951033071   -0.3147494527  -0.4844515541  6.983067278e-20 110.6747148    
3        NO_ID      0.3011824935   0.2870780762   0.1755165353   -0.3621472634  -0.5238577705  3.491533639e-19 127.9006001    
4        NO_ID      0.279769576    0.2740342886   0.1857595379   -0.3373603357  -0.503250088   2.03080133e-19 98.57666751    
5        NO_ID      0.2692721043   0.2514839105   0.204930617    -0.3308675085  -0.4968466586  2.03080133e-19 102.5653871    
6        NO_ID      0.2760650271   0.2660762791   0.1925249956   -0.3350690224  -0.5009903231  2.03080133e-19 97.13848694    
7        NO_ID      0.2764645578   0.2669345401   0.1917953498   -0.3353161376  -0.5012340358  2.03080133e-19 97.11165507    
8        NO_ID      0.2936055335   0.2509861103   0.2034443981   -0.3578952876  -0.518548195   0.001898012161 97.36541232    
9        NO_ID      0.2846592117   0.2593100113   0.1973644563   -0.346110641   -0.5095114842  0.0009073901664 95.6382317     
10       NO_ID      0.2851182389   0.2588829199   0.1976764123   -0.3467152999  -0.5099751492  0.0009582180343 95.65988019    
11       NO_ID      0.281830217    0.2553702843   0.1999407087   -0.3438729427  -0.5075715274  0.0002327246089 94.99359226    
12       NO_ID      0.2820927686   0.25573592     0.1997016134   -0.3440806176  -0.5077515698  0.0002953385515 94.99673862    
13       NO_ID      0.2818902611   0.2554539032   0.1998860289   -0.3439204368  -0.5076127021  0.0002470440799 94.993939      
14       NO_ID      0.2805605556   0.2450665996   0.2029077756   -0.3451488533  -0.5084024111  -2.710505431e-20 95.51453579    
15       NO_ID      0.2814836022   0.2525574007   0.2007507115   -0.3442212635  -0.5077983569  0.0001691912949 94.90824288    
16       NO_ID      0.2814841515   0.2525618589   0.2007494277   -0.3442207115  -0.5077979974  0.0001692919906 94.90933704    
17       NO_ID      0.282254196    0.246278369    0.2003536345   -0.3465704821  -0.5098084075  0.00044950148  94.66542973    
18       NO_ID      0.2826505923   0.243048412    0.2001493766   -0.3477789287  -0.5108423849  0.0005936940688 94.59853542    
19       NO_ID      0.2831252561   0.2391807082   0.1999047885   -0.3492259801  -0.5120805185  0.0007663571212 94.57110934    
20       NO_ID      0.2839056885   0.2351824088   0.198209692    -0.3511538319  -0.5137883601  0.001122172053 94.49421594    
21       NO_ID      0.2837401291   0.2360305999   0.1985692864   -0.3507448613  -0.513426062   0.001046690196 94.49760626    
22       NO_ID      0.2839035725   0.2351932492   0.1982142879   -0.351148605   -0.5137837297  0.00112120735  94.49371718    
23       NO_ID      0.2840269156   0.2317449641   0.1945344259   -0.35250907    -0.5150739477  0.00152524098  94.47854079    
24       NO_ID      0.2839701362   0.2333323386   0.1962284039   -0.3518827971  -0.5144800121  0.001339249203 94.47054765    
25       NO_ID      0.2839440552   0.2340614814   0.1970065138   -0.3515951256  -0.5142071944  0.001253815945 94.48016235    
26       NO_ID      0.2836488336   0.2332718527   0.1957098921   -0.3516275421  -0.5142780833  0.001301031571 94.46057234    
27       NO_ID      0.2837696815   0.2332946026   0.1959049141   -0.3517235483  -0.5143540325  0.001315405938 94.46274541    
28       NO_ID      0.2835713067   0.2332572581   0.1955847806   -0.3515659518  -0.51422936    0.001291810053 94.45993006    
