500 2
0.000000000 0.000000000 0.000000000
0.002004008 0.007770323 0.000000000
0.004008016 0.010631186 0.000000000
0.006012024 0.013291715 0.000000000
0.008016032 0.015169038 0.000000000
0.010020040 0.016872114 0.000000000
0.012024048 0.018486116 0.000000000
0.014028056 0.019953373 0.000000000
0.016032064 0.021289485 0.000000000
0.018036072 0.022537795 0.000000000
0.020040080 0.023725325 0.000000000
0.022044088 0.024857005 0.000000000
0.024048096 0.025936286 0.000000000
0.026052104 0.026967951 0.000000000
0.028056112 0.027957857 0.000000000
0.030060120 0.028911822 0.000000000
0.032064128 0.029834014 0.000000000
0.034068136 0.030726843 0.000000000
0.036072144 0.031592637 0.000000000
0.038076152 0.032433578 0.000000000
0.040080160 0.033251410 0.000000000
0.042084168 0.034047795 0.000000000
0.044088176 0.034824385 0.000000000
0.046092184 0.035582531 0.000000000
0.048096192 0.036323248 0.000000000
0.050100200 0.037047532 0.000000000
0.052104208 0.037756369 0.000000000
0.054108216 0.038450577 0.000000000
0.056112224 0.039130836 0.000000000
0.058116232 0.039797826 0.000000000
0.060120240 0.040452220 0.000000000
0.062124248 0.041094586 0.000000000
0.064128257 0.041725390 0.000000000
0.066132265 0.042345094 0.000000000
0.068136273 0.042954161 0.000000000
0.070140281 0.043553008 0.000000000
0.072144289 0.044141974 0.000000000
0.074148297 0.044721385 0.000000000
0.076152305 0.045291568 0.000000000
0.078156313 0.045852843 0.000000000
0.080160321 0.046405470 0.000000000
0.082164329 0.046949686 0.000000000
0.084168337 0.047485726 0.000000000
0.086172345 0.048013826 0.000000000
0.088176353 0.048534204 0.000000000
0.090180361 0.049047038 0.000000000
0.092184369 0.049552502 0.000000000
0.094188377 0.050050770 0.000000000
0.096192385 0.050542013 0.000000000
0.098196393 0.051026384 0.000000000
0.100200401 0.051504015 0.000000000
0.102204409 0.051975033 0.000000000
0.104208417 0.052439570 0.000000000
0.106212425 0.052897753 0.000000000
0.108216433 0.053349694 0.000000000
0.110220441 0.053795491 0.000000000
0.112224449 0.054235243 0.000000000
0.114228457 0.054669047 0.000000000
0.116232465 0.055097001 0.000000000
0.118236473 0.055519189 0.000000000
0.120240481 0.055935687 0.000000000
0.122244489 0.056346570 0.000000000
0.124248497 0.056751913 0.000000000
0.126252505 0.057151793 0.000000000
0.128256513 0.057546274 0.000000000
0.130260521 0.057935415 0.000000000
0.132264529 0.058319276 0.000000000
0.134268537 0.058697915 0.000000000
0.136272545 0.059071390 0.000000000
0.138276553 0.059439755 0.000000000
0.140280561 0.059803057 0.000000000
0.142284569 0.060161342 0.000000000
0.144288577 0.060514655 0.000000000
0.146292585 0.060863044 0.000000000
0.148296593 0.061206552 0.000000000
0.150300601 0.061545218 0.000000000
0.152304609 0.061879078 0.000000000
0.154308617 0.062208170 0.000000000
0.156312625 0.062532530 0.000000000
0.158316633 0.062852196 0.000000000
0.160320641 0.063167199 0.000000000
0.162324649 0.063477569 0.000000000
0.164328657 0.063783338 0.000000000
0.166332665 0.064084535 0.000000000
0.168336673 0.064381190 0.000000000
0.170340681 0.064673332 0.000000000
0.172344689 0.064960987 0.000000000
0.174348697 0.065244179 0.000000000
0.176352705 0.065522934 0.000000000
0.178356713 0.065797278 0.000000000
0.180360721 0.066067235 0.000000000
0.182364729 0.066332828 0.000000000
0.184368737 0.066594079 0.000000000
0.186372745 0.066851010 0.000000000
0.188376754 0.067103643 0.000000000
0.190380762 0.067351999 0.000000000
0.192384770 0.067596099 0.000000000
0.194388778 0.067835963 0.000000000
0.196392786 0.068071611 0.000000000
0.198396794 0.068303062 0.000000000
0.200400802 0.068530335 0.000000000
0.202404810 0.068753450 0.000000000
0.204408818 0.068972425 0.000000000
0.206412826 0.069187278 0.000000000
0.208416834 0.069398027 0.000000000
0.210420842 0.069604691 0.000000000
0.212424850 0.069807286 0.000000000
0.214428858 0.070005832 0.000000000
0.216432866 0.070200344 0.000000000
0.218436874 0.070390841 0.000000000
0.220440882 0.070577339 0.000000000
0.222444890 0.070759856 0.000000000
0.224448898 0.070938409 0.000000000
0.226452906 0.071113014 0.000000000
0.228456914 0.071283689 0.000000000
0.230460922 0.071450451 0.000000000
0.232464930 0.071613316 0.000000000
0.234468938 0.071772302 0.000000000
0.236472946 0.071927425 0.000000000
0.238476954 0.072078702 0.000000000
0.240480962 0.072226152 0.000000000
0.242484970 0.072369789 0.000000000
0.244488978 0.072509633 0.000000000
0.246492986 0.072645699 0.000000000
0.248496994 0.072778005 0.000000000
0.250501002 0.072906569 0.000000000
0.252505010 0.073031408 0.000000000
0.254509018 0.073152540 0.000000000
0.256513026 0.073269982 0.000000000
0.258517034 0.073383752 0.000000000
0.260521042 0.073493869 0.000000000
